id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_S_peak_e.3313,31539.00,S2C_0,2.30,0.00,0.00,31841.00,C2N_3,483.20,15.47,302.00,997.70,129.00,15,0.00,239.14,0,tripinfo_f_S_peak_e.3313,motorcycle,1.15,
f_S_peak_e.3362,31686.00,S2C_0,8.10,0.00,0.00,31841.00,C2E_2,483.20,13.93,155.00,987.97,38.00,5,0.00,83.47,0,tripinfo_f_S_peak_e.3362,truck,1.01,
f_S_peak_e.3359,31677.00,S2C_0,2.30,0.00,0.00,31842.00,C2E_0,483.20,12.80,165.00,993.77,41.00,5,0.00,88.81,0,tripinfo_f_S_peak_e.3359,motorcycle,0.95,
f_S_peak_e.3303,31509.00,S2C_0,4.60,0.00,0.00,31843.00,C2N_0,483.20,11.79,334.00,995.40,149.00,10,0.00,251.85,0,tripinfo_f_S_peak_e.3303,car,0.87,
f_S_peak_e.3306,31518.00,S2C_0,4.60,0.00,0.00,31843.00,C2N_1,483.20,12.05,325.00,995.40,127.00,11,0.00,248.05,0,tripinfo_f_S_peak_e.3306,car,0.94,
f_S_peak_e.3311,31533.00,S2C_0,4.60,0.00,0.00,31844.00,C2N_2,483.20,13.26,311.00,995.40,127.00,13,0.00,235.86,0,tripinfo_f_S_peak_e.3311,car,0.95,
f_S_peak_e.3308,31524.00,S2C_0,3.10,0.00,0.00,31846.00,C2N_0,483.20,12.31,322.00,996.90,140.00,10,0.00,242.56,0,tripinfo_f_S_peak_e.3308,rickshaw,0.91,
f_S_peak_e.3363,31689.00,S2C_0,2.30,0.00,0.00,31846.00,C2E_1,483.20,13.68,157.00,993.77,34.00,5,0.00,83.81,0,tripinfo_f_S_peak_e.3363,motorcycle,1.00,
f_S_peak_e.3377,31731.00,S2C_0,2.30,0.00,0.00,31846.00,C2E_2,483.20,12.10,115.00,993.77,6.00,4,0.00,44.71,0,tripinfo_f_S_peak_e.3377,motorcycle,1.02,
f_S_peak_e.3324,31572.00,S2C_0,2.30,0.00,0.00,31847.00,C2N_3,483.20,13.58,275.00,997.70,95.00,11,0.00,212.24,0,tripinfo_f_S_peak_e.3324,motorcycle,1.15,
f_S_peak_e.3382,31746.00,S2C_0,3.10,0.00,0.00,31847.00,C2E_3,483.20,15.92,101.00,992.97,3.00,2,0.00,38.16,0,tripinfo_f_S_peak_e.3382,rickshaw,1.15,
f_S_peak_e.3319,31558.00,S2C_0,4.60,0.00,1.00,31848.00,C2N_2,483.20,12.72,290.00,995.40,106.00,10,0.00,215.00,0,tripinfo_f_S_peak_e.3319,car,0.96,
f_S_peak_e.3305,31515.00,S2C_0,2.30,0.00,0.00,31849.00,C2N_0,483.20,10.91,334.00,997.70,143.00,11,0.00,248.66,0,tripinfo_f_S_peak_e.3305,motorcycle,0.85,
f_S_peak_e.3316,31548.00,S2C_0,4.60,0.00,0.00,31849.00,C2N_3,483.20,14.43,301.00,995.40,132.00,10,0.00,232.51,0,tripinfo_f_S_peak_e.3316,car,1.05,
f_S_peak_e.3310,31530.00,S2C_0,2.30,0.00,0.00,31850.00,C2N_1,483.20,11.82,320.00,997.70,136.00,13,0.00,240.10,0,tripinfo_f_S_peak_e.3310,motorcycle,0.90,
f_S_peak_e.3312,31536.00,S2C_0,4.60,0.00,0.00,31851.00,C2N_0,483.20,12.05,315.00,995.40,133.00,10,0.00,233.70,0,tripinfo_f_S_peak_e.3312,car,0.89,
f_S_peak_e.3318,31554.00,S2C_0,12.10,0.00,0.00,31852.00,C2N_1,483.20,13.06,298.00,987.90,127.00,8,0.00,226.56,0,tripinfo_f_S_peak_e.3318,bus,1.00,
f_S_peak_e.3329,31587.00,S2C_0,2.30,0.00,0.00,31852.00,C2N_3,483.20,14.36,265.00,997.70,88.00,16,0.00,199.01,0,tripinfo_f_S_peak_e.3329,motorcycle,1.09,
f_S_peak_e.3321,31563.00,S2C_0,2.30,0.00,0.00,31853.00,C2N_2,483.20,12.92,290.00,997.70,105.00,12,0.00,212.75,0,tripinfo_f_S_peak_e.3321,motorcycle,0.94,
f_S_peak_e.3338,31614.00,S2C_0,8.10,0.00,0.00,31854.00,C2N_0,483.20,14.83,240.00,991.90,83.00,5,0.00,173.58,0,tripinfo_f_S_peak_e.3338,truck,1.09,
f_S_peak_e.3387,31762.00,S2C_0,2.30,0.00,1.00,31855.00,C2E_0,483.20,11.08,93.00,993.77,1.00,1,0.00,13.64,0,tripinfo_f_S_peak_e.3387,motorcycle,0.92,
f_S_peak_e.3332,31596.00,S2C_0,3.10,0.00,0.00,31856.00,C2N_3,483.20,15.59,260.00,996.90,82.00,9,0.00,196.10,0,tripinfo_f_S_peak_e.3332,rickshaw,1.13,
f_S_peak_e.3342,31626.00,S2C_0,2.30,0.00,0.00,31856.00,C2N_2,483.20,14.21,230.00,997.70,78.00,9,0.00,163.05,0,tripinfo_f_S_peak_e.3342,motorcycle,1.07,
f_S_peak_e.3350,31650.00,S2C_0,8.10,0.00,0.00,31856.00,C2N_0,483.20,13.49,206.00,991.90,55.00,6,0.00,134.05,0,tripinfo_f_S_peak_e.3350,truck,1.00,
f_S_peak_e.3337,31612.00,S2C_0,4.60,0.00,1.00,31857.00,C2N_3,483.20,15.96,245.00,995.40,86.00,10,0.00,183.71,0,tripinfo_f_S_peak_e.3337,car,1.17,
f_S_peak_e.3355,31665.00,S2C_0,2.30,0.00,0.00,31859.00,C2N_1,483.20,12.28,194.00,997.70,45.00,7,0.00,125.65,0,tripinfo_f_S_peak_e.3355,motorcycle,1.05,
f_S_peak_e.3322,31566.00,S2C_0,2.30,0.00,0.00,31860.00,C2N_0,483.20,10.86,294.00,997.70,93.00,17,0.00,211.61,0,tripinfo_f_S_peak_e.3322,motorcycle,0.87,
f_S_peak_e.3340,31623.00,S2C_0,4.60,0.00,3.00,31861.00,C2N_2,483.20,14.16,238.00,995.40,80.00,6,0.00,171.72,0,tripinfo_f_S_peak_e.3340,car,1.09,
f_S_peak_e.3391,31773.00,S2C_0,2.30,0.00,0.00,31861.00,C2E_1,483.20,11.66,88.00,993.77,0.00,0,0.00,14.92,0,tripinfo_f_S_peak_e.3391,motorcycle,1.00,
f_S_peak_e.3394,31783.00,S2C_0,4.60,0.00,1.00,31861.00,C2W_0,483.20,14.89,78.00,970.83,0.00,0,0.00,14.10,0,tripinfo_f_S_peak_e.3394,car,1.11,
f_S_peak_e.3393,31779.00,S2C_0,3.10,0.00,0.00,31864.00,C2W_0,483.20,13.66,85.00,972.33,0.00,0,0.00,12.82,0,tripinfo_f_S_peak_e.3393,rickshaw,0.99,
f_S_peak_e.3341,31624.00,S2C_0,4.60,0.00,1.00,31865.00,C2N_1,483.20,13.73,241.00,995.40,82.00,6,0.00,173.30,0,tripinfo_f_S_peak_e.3341,car,1.06,
f_S_peak_e.3389,31767.00,S2C_0,2.30,0.00,0.00,31866.00,C2E_0,483.20,10.89,99.00,993.77,0.00,0,0.00,12.43,0,tripinfo_f_S_peak_e.3389,motorcycle,0.84,
f_S_peak_e.3357,31671.00,S2C_0,2.30,0.00,0.00,31867.00,C2N_0,483.20,11.17,196.00,997.70,31.00,7,0.00,117.11,0,tripinfo_f_S_peak_e.3357,motorcycle,0.91,
f_S_peak_e.3333,31599.00,S2C_0,2.30,0.00,0.00,31869.00,C2N_1,483.20,11.46,270.00,997.70,84.00,10,0.00,186.88,0,tripinfo_f_S_peak_e.3333,motorcycle,0.87,
f_S_peak_e.3346,31638.00,S2C_0,2.30,0.00,0.00,31870.00,C2N_1,483.20,11.41,232.00,997.70,68.00,8,0.00,158.64,0,tripinfo_f_S_peak_e.3346,motorcycle,0.98,
f_S_peak_e.3345,31635.00,S2C_0,2.30,0.00,0.00,31872.00,C2N_0,483.20,10.40,237.00,997.70,54.00,9,0.00,141.99,0,tripinfo_f_S_peak_e.3345,motorcycle,0.76,
f_S_peak_e.3366,31698.00,S2C_0,3.10,0.00,0.00,31872.00,C2N_2,483.20,13.56,174.00,996.90,17.00,5,0.00,102.15,0,tripinfo_f_S_peak_e.3366,rickshaw,1.00,
f_N_peak_e.2673,31439.00,N2C_0,2.30,0.00,1820.00,31873.00,C2W_2,483.20,14.73,434.00,993.77,224.00,19,0.00,367.15,0,tripinfo_f_N_peak_e.2673,motorcycle,1.09,
f_S_peak_e.3360,31680.00,S2C_0,2.30,0.00,0.00,31873.00,C2N_1,483.20,9.26,193.00,997.70,23.00,8,0.00,106.66,0,tripinfo_f_S_peak_e.3360,motorcycle,0.83,
