id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_E_peak_e.2460,31108.00,E2C_0,4.60,0.00,2128.00,31692.00,C2W_1,483.20,12.57,584.00,995.40,225.00,22,0.00,508.34,0,tripinfo_f_E_peak_e.2460,car,0.95,
f_W_peak_e.3328,31584.00,W2C_0,4.60,0.00,0.00,31692.00,C2E_0,483.20,11.56,108.00,995.40,4.00,1,0.00,23.88,0,tripinfo_f_W_peak_e.3328,car,0.85,
f_W_peak_e.3335,31606.00,W2C_0,2.30,0.00,1.00,31692.00,C2E_1,483.20,13.43,86.00,997.70,0.00,0,0.00,11.28,0,tripinfo_f_W_peak_e.3335,motorcycle,0.97,
f_W_peak_e.3318,31554.00,W2C_0,4.60,0.00,0.00,31694.00,C2E_0,483.20,12.38,140.00,995.40,41.00,3,0.00,65.82,0,tripinfo_f_W_peak_e.3318,car,0.97,
f_E_peak_e.2570,31380.00,E2C_0,4.60,0.00,2070.00,31695.00,C2W_2,483.20,14.53,315.00,995.40,128.00,17,0.00,247.73,0,tripinfo_f_E_peak_e.2570,car,1.07,
f_W_peak_e.3336,31608.00,W2C_0,4.60,0.00,0.00,31696.00,C2N_0,483.20,13.16,88.00,970.83,0.00,0,0.00,16.90,0,tripinfo_f_W_peak_e.3336,car,1.00,
f_E_peak_e.2344,30285.00,E2C_0,2.30,0.00,1653.00,31698.00,C2W_0,483.20,9.66,1413.00,997.70,793.00,80,0.00,1318.67,0,tripinfo_f_E_peak_e.2344,motorcycle,0.76,
f_E_peak_e.2595,31442.00,E2C_0,4.60,0.00,2057.00,31698.00,C2W_1,483.20,13.22,256.00,995.40,152.00,8,0.00,180.99,0,tripinfo_f_E_peak_e.2595,car,0.96,
f_W_peak_e.3339,31617.00,W2C_0,12.10,0.00,0.00,31698.00,C2E_1,483.20,13.81,81.00,987.90,0.00,0,0.00,9.09,0,tripinfo_f_W_peak_e.3339,bus,1.00,
f_E_peak_e.2454,31089.00,E2C_0,4.60,0.00,2127.00,31700.00,C2W_1,483.20,15.31,611.00,995.40,256.00,19,0.00,547.44,0,tripinfo_f_E_peak_e.2454,car,1.14,
